Sr.,Stock Name,Symbol,% Chg,Price,Volume
126,Jayaswal Neco Industries Limited,JAYNECOIND,0.1099,59.99,145027137
77,Le Travenues Technology Ltd,IXIGO,0.0571,252.15,22410876
41,HBL Engineering Ltd,HBLENGINE,0.0118,692.0,17899999
70,Star Cement Ltd,STARCEMENT,0.10210000000000001,290.62,12246568
118,Nippon India ETF Gold Bees,GOLDBEES,-0.003,82.98,11159030
100,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,0.0002,109.91,8710228
53,Tilaknagar Industries Limited,TI,0.0452,493.65,8421182
56,Krbl Limited,KRBL,0.0088,450.8,7817003
103,Nippon India Silver ETF,SILVERBEES,-0.0024,109.26,7506625
94,ICICI Prudential Silver ETF,SILVERIETF,-0.0012,113.82,4098787
114,SBI Gold ETS,SETFGOLD,-0.0033,85.5,4044922
113,HDFC Gold ETF,HDFCGOLD,-0.003,85.61,3096533
112,ICICI Prudential Gold ETF,GOLDIETF,-0.0033,85.65,3008030
83,Cupid Limited,CUPID,0.0017000000000000001,165.41,2975274
65,Hubtown Limited,HUBTOWN,0.0232,348.85,2149679
120,Nippon India ETF PSU Bank Bees,PSUBNKBEES,-0.0011,78.47,1894590
63,Zuari Agro Chemicals Limited,ZUARI,0.0148,374.65,1475490
55,Sirca Paints India Ltd,SIRCA,0.0078000000000000005,462.45,1221655
102,HDFC Silver ETF,HDFCSILVER,-0.0019,109.49,1168282
132,United Polyfab Gujarat Ltd,UNITEDPOLY,-0.050199999999999995,39.94,1124553
116,Kotak Gold ETF,GOLD1,-0.0042,83.57,1090341
23,Gabriel India Limited,GABRIEL,0.051699999999999996,1065.6,1035119
72,Tourism Finance Corporation Of India Limited,TFCILTD,0.0246,287.05,986027
10,Nazara Technologies Ltd,NAZARA,0.0137,1420.7,968338
19,DSP S&P BSE Liquid Rate ETF,LIQUIDADD,0.0001,1085.67,871394
58,HLE Glascoat Ltd,HLEGLAS,0.0223,446.35,853640
36,Choice International Ltd,CHOICEIN,0.031,789.15,827808
71,Spml Infra Limited,SPMLINFRA,0.023700000000000002,287.35,817476
39,Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,-0.0222,709.95,810987
78,India Pesticides Ltd,IPL,-0.0434,219.1,762033
44,Vimta Labs Limited,VIMTALABS,-0.0259,608.5,754166
64,Rallis India Limited,RALLIS,0.029900000000000003,370.75,707663
121,ICICI Prudential Nifty PSU Bank ETF,PSUBNKIETF,0.0027,71.24,643275
51,J.G.Chemicals Ltd,JGCHEM,0.0487,497.05,638098
57,Nuvoco Vistas Corporation Ltd,NUVOCO,0.011000000000000001,450.6,625937
47,Ashapura Minechem Limited,ASHAPURMIN,-0.032,542.75,608935
90,Fedbank Financial Services Ltd,FEDFINA,0.0055000000000000005,130.03,594566
96,SBI Silver ETF,SBISILVER,-0.0027,111.93,593414
5,Cartrade Tech Ltd,CARTRADE,0.0559,2336.8,541775
13,Zota Health Care Ltd,ZOTA,0.10710000000000001,1332.5,499042
15,CreditAccess Grameen Ltd,CREDITACC,0.034,1301.9,484007
123,Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,0.0103,63.98,476928
106,Mirae Asset Gold ETF,GOLDETF,-0.0049,97.45,463231
84,Mirae Asset NYSE FANG+ ETF,MAFANG,0.011200000000000002,158.6,435936
91,Megasoft Limited,MEGASOFT,0.049699999999999994,120.51,416864
93,Aditya Birla Sun Life Silver ETF,SILVER,-0.0026,113.98,413800
99,UTI Silver ETF,SILVERETF,-0.0039000000000000003,110.5,389185
95,Axis Silver ETF,AXISILVER,-0.0036,113.42,381945
1,Anand Rathi Wealth Ltd,ANANDRATHI,0.023,2755.6,377517
115,UTI - Gold Exchange Traded Fund,GOLDSHARE,-0.0036,84.1,369641
87,Commercial Syn Bags Ltd,COMSYN,-0.0127,137.14,354710
133,Udaipur Cement Works Ltd,UDAICEMENT,0.0098,35.01,354545
50,Aadhar Housing Finance Ltd,AADHARHFC,-0.0011,506.2,346873
26,Datamatics Global Services Limited,DATAMATICS,0.0408,1058.4,343799
111,Aditya Birla Sun Life Gold ETF,BSLGOLDETF,-0.004,88.14,340392
42,Healthcare Global Enterprises Limited,HCG,0.0304,671.35,329261
105,Edelweiss Gold ETF,EGOLD,-0.0055000000000000005,100.25,324378
43,Nava Ltd,NAVA,-0.0058,622.25,310740
38,Krishna Institute of Medical Sciences Ltd,KIMS,0.0129,735.85,310378
81,Bliss Gvs Pharma Limited,BLISSGVS,0.0087,174.77,306446
14,Acutaas Chemicals Ltd,ACUTAAS,0.0168,1304.0,285649
98,Kotak Silver ETF,SILVER1,-0.0038,110.63,232257
128,Oricon Enterprises Limited,ORICONENT,0.0194,53.51,221092
45,Sumitomo Chemical India Ltd,SUMICHEM,0.019,594.5,220425
92,Edelweiss Silver ETF,ESILVER,-0.0027,114.29,218587
